,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소,위도,경도
656,전남,거문초덕촌분교장,2019,여수,초,미활용,전라남도 여수 삼산면 덕촌리 814-1,34.02518872933597,127.30326446833482
657,전남,거문초동도분교장,2020,여수,초,미활용,전라남도 여수 삼산면 동도리 1012,34.04984452300123,127.31258419804139
659,전남,거문초손죽분교장,2022,여수,초,미활용,전라남도 여수 삼산면 손죽리 산1466,34.2854101198395,127.358794917108
661,전남,겸백초은덕분교장,1994,보성,초,미활용,전라남도 보성 겸백면 은덕리 19,34.8506955586497,127.136793798363
662,전남,고서초주산분교장,1999,담양,초,미활용,전라남도 담양 고서면 주산리 516,35.2368010660011,126.954297968565
667,전남,과역동초백일분교장,2007,고흥,초,미활용,전라남도 고흥 과역면 백일리 산908,34.6994681296279,127.426177491306
668,전남,관산초영성분교장,2008,장흥,초,미활용,전라남도 장흥 관산읍 죽청리 418-3,34.580433244797,126.967311772716
670,전남,광양태금중학교,2011,광양,중,미활용,전라남도 광양 태인동 303,34.9396506614588,127.748591950987
674,전남,금성초등학교,1999,여수,초,미활용,전라남도 여수 돌산읍 금성리 475,36.8444486,126.87993423255219
675,전남,금정초청룡분교장,1999,영암,초,미활용,전라남도 영암 금정면 청용리 899,34.8626728005384,126.826671935025
677,전남,나로고등학교,2014,고흥,고,미활용,전라남도 고흥 봉래면 신금리 838,34.4677416470179,127.459908332844
681,전남,나주초이화분교장,2008,나주,초,미활용,전라남도 나주 토계동 318,35.0141811,126.7303469
690,전남,다시남초등학교,1999,나주,초,미활용,전라남도 나주 다시면 문동리 654,34.9954137396066,126.619017762872
692,전남,대동향교초대신분교장,2008,함평,초,미활용,전라남도 함평 대동면 금산리 422-7,35.1237490304054,126.494407756098
695,전남,대서초안남분교장,2008,고흥,초,미활용,전라남도 고흥 대서면 안남리 626,34.7496738291707,127.271097947344
698,전남,도포초도신분교장,2008,영암,초,미활용,전라남도 영암 도포면 영호리 194,34.8651253837392,126.653334133146
700,전남,도포초영농분교장,2016,영암,초,미활용,전라남도 영암 도포면 영호리 919-10,34.8712702537713,126.647393532427
706,전남,동면초옥호분교장,1995,화순,초,미활용,전라남도 화순 동면 옥호리 338,34.9992191738196,127.017675725884
707,전남,동복초가수분교장,1999,화순,초,미활용,전라남도 화순 동복면 가수리 861,35.0999394659687,127.142452483609
708,전남,동산초판교분교장,1994,순천,초,미활용,전라남도 순천 서면 판 교리 3 3,35.0525400421461,127.500781655759
712,전남,만덕초용산분교장,1995,담양,초,미활용,전라남도 담양 대덕면 갈전리 687,35.19897863687896,127.09286385756525
715,전남,문평남초등학교,2010,나주,초,미활용,전라남도 나주 문평면 옥당리 1119,35.0300296336201,126.610905905858
718,전남,벌교초제석분교장,2015,보성,초,미활용,전라남도 보성 벌교읍 장양리 793,34.8472003826867,127.36447426703
720,전남,법성중안마분교장,2011,영광,중,미활용,전라남도 영광 낙월면 월촌리 산313-3,35.3457263533974,126.025165060019
725,전남,보성중웅치분교장,2004,보성,중,미활용,전라남도 보성 웅치면 강산리 339,34.7351615021757,127.021532774818
729,전남,사창초능성분교장,1995,장성,초,미활용,전라남도 장성 삼계면 능성리 599-1,35.2669111153929,126.698805000776
733,전남,삼서남초등학교,1999,장성,초,미활용,전라남도 장성 삼서면 석마리 661-4,35.2066550062225,126.666020332014
740,전남,석곡초욕천분교장,1993,곡성,초,미활용,전라남도 곡성 죽곡면 삼태리 444,35.1350978239274,127.284776921816
743,전남,세지북초등학교,2010,나주,초,미활용,전라남도 나주 세지면 내정리 44715,34.9508038021226,126.737985062283
750,전남,시종초종남분교장,2013,영암,초,미활용,전라남도 영암 시종면 금지리 1078,34.8988054610562,126.608335440389
753,전남,아산초서유분교장,2007,화순,초,미활용,전라남도 화순 백아면 서유리 526,35.173243747901,127.092066160198
755,전남,안양동초등학교,2022,장흥,초,미활용,전라남도 장흥 안양면 수문리 359-2,37.4071905,126.93544309751454
756,전남,약수중학교,2018,장성,중,미활용,전라남도 장성 북하면 약수리 428-1,35.4069818,126.88079280634247
758,전남,여안초등학교,2022,여수,초,미활용,전라남도 여수 남면 안도리 991,34.485517810886,127.805439282863
762,전남,염산초야월분교장,2013,영광,초,미활용,전라남도 영광 염산면 야월리 300,35.230052007636,126.31900045247
763,전남,영광서초등학교,2011,영광,초,미활용,전라남도 영광 영광읍 계송리 667,35.300402,126.519598
764,전남,영광정보산업고등학교,2014,영광,고,미활용,전라남도 영광 낙월면 월촌리 산313-3,35.240394699999996,126.45288099611369
765,전남,영광중불갑분교장,1997,영광,중,미활용,전라남도 영광 불갑면 안맹리 100-1,35.2185450340068,126.504786474637
767,전남,영등초등학교,2004,보성,초,미활용,전라남도 보성 벌교읍 영등리 726,35.953536400000004,126.97228478485113
777,전남,웅치초등학교,2017,보성,초,미활용,전라남도 보성 웅치면 중산리 50,34.717061150000006,127.02096185286794
778,전남,유달초 율도분교장,2021,목포,초,미활용,전라남도 목포 율도동 261,34.8032680619974,126.322651952637
780,전남,율촌초산수분교장,2021,여수,초,미활용,전라남도 여수 율촌면 산수리 642,34.8815476257636,127.553471743762
782,전남,의동초등학교,2014,진도,초,미활용,전라남도 진도 의신면 초사리 102,34.422032,126.333717
789,전남,장성신흥중학교,2015,장성,중,미활용,전라남도 장성 북일면 성덕리 36,35.38597405,126.79266785304029
790,전남,장암초등학교,1998,보성,초,미활용,전라남도 보성 벌교읍 장암리 710-1,37.72595955,127.05920841984336
791,전남,점암초신안분교장,2019,고흥,초,미활용,전라남도 고흥 점암면 신안리 205,34.6575091617367,127.341252213237
796,전남,주암초어왕분교장,2009,순천,초,미활용,전라남도 순천 주암면 어왕리 1,35.0975090942641,127.237083129843
808,전남,토지초외곡분교장,1992,구례,초,미활용,전라남도 구례 토지면 외곡리 543,35.2041230806188,127.603407857428
817,전남,해제고등학교,2015,무안,고,미활용,전라남도 무안 해제면 신정리 99,35.111603,126.288393
818,전남,해제동초등학교,2009,무안,초,미활용,전라남도 무안 해제면 유월리 561,35.1131368666369,126.318180089508
819,전남,현경고등학교,2015,무안,고,미활용,전라남도 무안 현경면 외반리 492-1,35.018372,126.40437
822,전남,화계초여주분교장,1994,고흥,초,미활용,전라남도 고흥 점암면 여호리 244,34.6612081277135,127.466568955135
825,전남,화원초화봉분교장,2004,해남,초,미활용,전라남도 해남 화원면 화봉리 226,34.66878031019409,126.26916890417944
826,전남,화태초돌산중화태분교장,2022,여수,초,미활용,전라남도 여수 남면 화태리 313,34.5847305565972,127.735371870218
827,전남,화태초등학교,2022,여수,초,미활용,전라남도 여수 남면 화태리 313,34.574040600000004,127.7230057561352
829,전남,화태초여동분교장,2015,여수,초,미활용,전라남도 여수 남면 횡 간리 2 51,34.5801302417638,127.760005802171
